year,geo,Traveller_characteristics,value
2019,Dawson,Canadian-resident visitors returning to Canada,752
2019,Beaver Creek,United States of America residents entering Canada,65547
2019,Little Gold Creek,United States of America residents entering Canada,6371
2019,Fraser,Residents of countries other than the United States of America entering Canada,50290
2019,Pleasant Camp,Canadian-resident visitors returning to Canada,15399
2019,Fraser,United States of America residents entering Canada,245436
2019,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2588
2019,Whitehorse,Residents of countries other than the United States of America entering Canada,3214
2019,Little Gold Creek,Canadian-resident visitors returning to Canada,3304
2019,Little Gold Creek,Residents of countries other than the United States of America entering Canada,3518
2019,Old Crow,Canadian-resident visitors returning to Canada,0
2019,Old Crow,Residents of countries other than the United States of America entering Canada,0
2019,Old Crow,United States of America residents entering Canada,1
2019,Pleasant Camp,United States of America residents entering Canada,20154
2019,Whitehorse,Canadian-resident visitors returning to Canada,845
2019,Whitehorse,United States of America residents entering Canada,753
2020,Beaver Creek,Residents of countries other than the United States of America entering Canada,6
2020,Fraser,Canadian-resident visitors returning to Canada,2004
2020,Beaver Creek,Canadian-resident visitors returning to Canada,1332
2020,Dawson,Residents of countries other than the United States of America entering Canada,1
2020,Beaver Creek,United States of America residents entering Canada,21376
2020,Fraser,Residents of countries other than the United States of America entering Canada,77
2020,Dawson,Canadian-resident visitors returning to Canada,12
2020,Dawson,United States of America residents entering Canada,16
2020,Little Gold Creek,Canadian-resident visitors returning to Canada,0
2020,Whitehorse,Canadian-resident visitors returning to Canada,63
2020,Fraser,United States of America residents entering Canada,1873
2020,Whitehorse,Residents of countries other than the United States of America entering Canada,7
2020,Little Gold Creek,United States of America residents entering Canada,0
2020,Little Gold Creek,Residents of countries other than the United States of America entering Canada,0
2020,Old Crow,Canadian-resident visitors returning to Canada,0
2020,Old Crow,Residents of countries other than the United States of America entering Canada,0
2020,Old Crow,United States of America residents entering Canada,0
2020,Pleasant Camp,Canadian-resident visitors returning to Canada,702
2020,Pleasant Camp,United States of America residents entering Canada,2812
2020,Pleasant Camp,Residents of countries other than the United States of America entering Canada,23
2020,Whitehorse,United States of America residents entering Canada,251
2021,Beaver Creek,Residents of countries other than the United States of America entering Canada,0
2021,Beaver Creek,Canadian-resident visitors returning to Canada,884
2021,Dawson,Residents of countries other than the United States of America entering Canada,0
2021,Dawson,United States of America residents entering Canada,0
2021,Beaver Creek,United States of America residents entering Canada,24615
2021,Dawson,Canadian-resident visitors returning to Canada,0
2021,Fraser,Canadian-resident visitors returning to Canada,915
2021,Fraser,Residents of countries other than the United States of America entering Canada,16
2021,Little Gold Creek,Canadian-resident visitors returning to Canada,0
2021,Fraser,United States of America residents entering Canada,2268
2021,Pleasant Camp,United States of America residents entering Canada,3592
2021,Pleasant Camp,Residents of countries other than the United States of America entering Canada,7
2021,Little Gold Creek,United States of America residents entering Canada,0
2021,Little Gold Creek,Residents of countries other than the United States of America entering Canada,0
2021,Whitehorse,Canadian-resident visitors returning to Canada,39
2021,Old Crow,Residents of countries other than the United States of America entering Canada,0
2021,Old Crow,Canadian-resident visitors returning to Canada,0
2021,Pleasant Camp,Canadian-resident visitors returning to Canada,493
2021,Whitehorse,Residents of countries other than the United States of America entering Canada,3
2021,Old Crow,United States of America residents entering Canada,0
2021,Whitehorse,United States of America residents entering Canada,270
2022,Beaver Creek,Canadian-resident visitors returning to Canada,7009
2022,Dawson,Residents of countries other than the United States of America entering Canada,204
2022,Dawson,Canadian-resident visitors returning to Canada,363
2022,Dawson,United States of America residents entering Canada,3661
2022,Beaver Creek,Residents of countries other than the United States of America entering Canada,2513
2022,Fraser,Canadian-resident visitors returning to Canada,29102
2022,Fraser,United States of America residents entering Canada,43071
2022,Fraser,Residents of countries other than the United States of America entering Canada,5194
2022,Beaver Creek,United States of America residents entering Canada,43797
2022,Pleasant Camp,United States of America residents entering Canada,12277
2022,Little Gold Creek,Residents of countries other than the United States of America entering Canada,2119
2022,Pleasant Camp,Residents of countries other than the United States of America entering Canada,1539
2022,Little Gold Creek,Canadian-resident visitors returning to Canada,2299
2022,Whitehorse,Canadian-resident visitors returning to Canada,1205
2022,Old Crow,Canadian-resident visitors returning to Canada,0
2022,Whitehorse,Residents of countries other than the United States of America entering Canada,1839
2022,Little Gold Creek,United States of America residents entering Canada,3897
2022,Old Crow,Residents of countries other than the United States of America entering Canada,0
